"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UBL","EQ","03-Aug-2018","       1100.50","       1107.90","       1138.00","       1089.25","       1132.85","       1132.80","       1116.30","    1018087","          1136490363.75","      47359","     341455","         33.54"
"UBL","EQ","06-Aug-2018","       1132.80","       1147.00","       1176.35","       1142.10","       1161.95","       1161.95","       1162.74","    1242937","          1445213415.50","      47349","     514991","         41.43"
"UBL","EQ","07-Aug-2018","       1161.95","       1162.15","       1173.30","       1143.25","       1158.00","       1153.55","       1159.26","     439328","           509293783.05","      15885","     131926","         30.03"
"UBL","EQ","08-Aug-2018","       1153.55","       1160.00","       1175.00","       1151.85","       1157.00","       1160.90","       1164.32","     353834","           411976014.20","      16763","     114285","         32.30"
"UBL","EQ","09-Aug-2018","       1160.90","       1157.00","       1202.50","       1152.25","       1199.95","       1199.65","       1187.69","     672671","           798927532.55","      15720","     242194","         36.00"
"UBL","EQ","10-Aug-2018","       1199.65","       1204.90","       1219.90","       1173.65","       1184.80","       1204.75","       1198.92","    1035718","          1241743164.75","      33103","     183720","         17.74"
"UBL","EQ","13-Aug-2018","       1204.75","       1184.80","       1306.65","       1181.35","       1298.00","       1297.80","       1270.43","    2967369","          3769842503.30","      77793","     497272","         16.76"
"UBL","EQ","14-Aug-2018","       1297.80","       1297.75","       1342.95","       1273.75","       1339.20","       1336.05","       1317.23","    1415376","          1864379689.40","      40373","     104769","          7.40"
"UBL","EQ","16-Aug-2018","       1336.05","       1326.00","       1413.70","       1316.10","       1413.70","       1395.35","       1371.99","    1590506","          2182156416.30","      38123","     137376","          8.64"
"UBL","EQ","17-Aug-2018","       1395.35","       1390.00","       1420.00","       1360.15","       1381.30","       1385.75","       1388.52","    2117411","          2940070221.70","      53635","     158064","          7.46"
"UBL","EQ","20-Aug-2018","       1385.75","       1379.90","       1406.75","       1370.00","       1381.10","       1385.10","       1386.07","     853609","          1183161622.35","      29447","     172270","         20.18"
"UBL","EQ","21-Aug-2018","       1385.10","       1381.10","       1400.00","       1366.15","       1372.00","       1374.30","       1384.47","     779837","          1079657604.20","      22415","      96689","         12.40"
"UBL","EQ","23-Aug-2018","       1374.30","       1384.00","       1454.70","       1362.10","       1452.80","       1444.85","       1417.00","    1382200","          1958583595.60","      35482","     175968","         12.73"
"UBL","EQ","24-Aug-2018","       1444.85","       1452.00","       1462.00","       1380.00","       1387.90","       1395.70","       1427.14","    1341832","          1914984966.55","      38126","     222686","         16.60"
"UBL","EQ","27-Aug-2018","       1395.70","       1401.00","       1409.65","       1378.65","       1396.00","       1387.55","       1394.00","     567083","           790511242.30","      20749","      64224","         11.33"
"UBL","EQ","28-Aug-2018","       1387.55","       1398.25","       1399.95","       1368.05","       1374.80","       1373.90","       1378.91","     504841","           696130028.10","      25229","     130698","         25.89"
"UBL","EQ","29-Aug-2018","       1373.90","       1382.95","       1402.85","       1370.10","       1387.00","       1387.70","       1386.12","     564874","           782983432.10","      18656","     123449","         21.85"
"UBL","EQ","30-Aug-2018","       1387.70","       1387.50","       1439.90","       1387.40","       1415.45","       1420.95","       1414.01","    1338629","          1892828192.30","      38645","     257960","         19.27"
"UBL","EQ","31-Aug-2018","       1420.95","       1420.00","       1426.95","       1390.05","       1403.00","       1404.10","       1408.56","     533557","           751548581.25","      14356","      57350","         10.75"
"UBL","EQ","03-Sep-2018","       1404.10","       1390.00","       1417.40","       1371.25","       1372.85","       1381.40","       1397.07","     467432","           653034213.30","      13221","      36828","          7.88"
"UBL","EQ","04-Sep-2018","       1381.40","       1384.00","       1393.70","       1290.00","       1310.40","       1312.65","       1335.22","     849658","          1134476306.00","      24604","     106912","         12.58"
"UBL","EQ","05-Sep-2018","       1312.65","       1310.40","       1325.00","       1273.10","       1319.90","       1315.50","       1299.41","     826123","          1073471852.30","      21541","      96495","         11.68"
"UBL","EQ","06-Sep-2018","       1315.50","       1330.00","       1362.50","       1318.20","       1340.00","       1340.45","       1339.46","    1009110","          1351665556.55","      31503","     209781","         20.79"
"UBL","EQ","07-Sep-2018","       1340.45","       1348.95","       1348.95","       1308.40","       1338.50","       1338.45","       1333.30","     599499","           799314763.80","      22742","      68908","         11.49"
"UBL","EQ","10-Sep-2018","       1338.45","       1342.90","       1342.90","       1285.15","       1289.00","       1295.10","       1309.18","     438667","           574294609.00","      18705","      85433","         19.48"
"UBL","EQ","11-Sep-2018","       1295.10","       1293.10","       1334.65","       1273.70","       1288.10","       1281.05","       1304.61","     941304","          1228037907.35","      36395","     253074","         26.89"
"UBL","EQ","12-Sep-2018","       1281.05","       1285.00","       1321.70","       1274.00","       1318.45","       1315.45","       1296.72","     655664","           850214074.90","      26687","      86528","         13.20"
"UBL","EQ","14-Sep-2018","       1315.45","       1323.50","       1334.00","       1302.80","       1315.30","       1316.00","       1318.56","     426219","           561995377.20","      15845","      47350","         11.11"
"UBL","EQ","17-Sep-2018","       1316.00","       1315.00","       1333.50","       1292.00","       1321.70","       1322.40","       1315.62","     494772","           650934276.00","      17762","      59265","         11.98"
"UBL","EQ","18-Sep-2018","       1322.40","       1315.05","       1354.95","       1300.10","       1317.95","       1306.15","       1337.50","    1117924","          1495218521.30","      68543","     189955","         16.99"
"UBL","EQ","19-Sep-2018","       1306.15","       1315.90","       1333.50","       1291.05","       1306.20","       1307.65","       1315.13","     592805","           779615928.00","      22677","      89945","         15.17"
"UBL","EQ","21-Sep-2018","       1307.65","       1330.00","       1339.95","       1253.85","       1317.00","       1311.90","       1314.77","     990966","          1302894564.05","      48336","     365482","         36.88"
"UBL","EQ","24-Sep-2018","       1311.90","       1317.00","       1337.95","       1297.70","       1325.00","       1317.00","       1320.88","    1181460","          1560572180.65","      27403","     616560","         52.19"
"UBL","EQ","25-Sep-2018","       1317.00","       1320.00","       1395.00","       1315.25","       1388.15","       1385.15","       1352.97","     772585","          1045286770.30","      33772","     117678","         15.23"
"UBL","EQ","26-Sep-2018","       1385.15","       1406.00","       1449.40","       1374.05","       1416.10","       1418.20","       1406.25","    1350711","          1899443471.75","      49537","     265259","         19.64"
"UBL","EQ","27-Sep-2018","       1418.20","       1417.00","       1443.45","       1388.65","       1430.00","       1417.00","       1420.06","     981794","          1394202965.05","      48204","     213850","         21.78"
"UBL","EQ","28-Sep-2018","       1417.00","       1430.00","       1466.95","       1327.40","       1360.15","       1357.35","       1412.21","    1336300","          1887131088.85","      59726","     161570","         12.09"
"UBL","EQ","01-Oct-2018","       1357.35","       1360.00","       1364.90","       1266.00","       1330.15","       1328.00","       1314.01","     823724","          1082383527.20","      28011","     146634","         17.80"
"UBL","EQ","03-Oct-2018","       1328.00","       1328.00","       1339.80","       1276.00","       1284.00","       1287.50","       1297.58","     786156","          1020097935.75","      28825","     162329","         20.65"
"UBL","EQ","04-Oct-2018","       1287.50","       1283.00","       1286.85","       1212.00","       1228.00","       1240.35","       1246.37","     549158","           684452870.30","      19023","      77193","         14.06"
"UBL","EQ","05-Oct-2018","       1240.35","       1227.00","       1228.00","       1083.80","       1116.30","       1135.25","       1170.37","     876797","          1026173644.45","      32048","     116087","         13.24"
"UBL","EQ","08-Oct-2018","       1135.25","       1125.00","       1164.80","       1083.00","       1130.00","       1131.55","       1126.31","     834582","           939997286.95","      33532","     144986","         17.37"
"UBL","EQ","09-Oct-2018","       1131.55","       1145.00","       1182.40","       1122.00","       1163.00","       1163.60","       1150.09","     852994","           981021532.10","      27425","     228523","         26.79"
"UBL","EQ","10-Oct-2018","       1163.60","       1170.00","       1206.90","       1166.00","       1197.15","       1195.70","       1191.97","     543647","           648012353.50","      21687","     116343","         21.40"
"UBL","EQ","11-Oct-2018","       1195.70","       1160.00","       1218.15","       1147.55","       1188.00","       1187.90","       1187.21","     653187","           775472688.85","      24862","     116590","         17.85"
"UBL","EQ","12-Oct-2018","       1187.90","       1172.55","       1202.00","       1152.55","       1167.45","       1172.60","       1177.35","     975150","          1148092047.50","      52280","     210086","         21.54"
"UBL","EQ","15-Oct-2018","       1172.60","       1190.00","       1195.25","       1160.15","       1180.25","       1179.50","       1177.16","     609776","           717806041.70","      35297","     179903","         29.50"
"UBL","EQ","16-Oct-2018","       1179.50","       1183.00","       1191.95","       1118.30","       1161.00","       1159.05","       1150.97","    1160904","          1336162019.20","      45942","     356983","         30.75"
"UBL","EQ","17-Oct-2018","       1159.05","       1169.00","       1232.75","       1163.00","       1210.00","       1209.75","       1201.62","    1330931","          1599266784.85","      39902","     190173","         14.29"
"UBL","EQ","19-Oct-2018","       1209.75","       1204.90","       1206.90","       1164.80","       1195.10","       1185.20","       1183.90","     554991","           657052310.50","      20366","      77365","         13.94"
"UBL","EQ","22-Oct-2018","       1185.20","       1192.35","       1213.50","       1175.60","       1196.00","       1192.80","       1195.81","     728074","           870639292.80","      24437","     271097","         37.23"
"UBL","EQ","23-Oct-2018","       1192.80","       1187.00","       1197.00","       1137.00","       1175.00","       1174.05","       1165.71","     606191","           706640088.00","      23372","     110083","         18.16"
"UBL","EQ","24-Oct-2018","       1174.05","       1181.10","       1194.00","       1151.10","       1161.45","       1166.90","       1168.52","     482683","           564023671.95","      21044","     105686","         21.90"
"UBL","EQ","25-Oct-2018","       1166.90","       1153.90","       1177.40","       1134.75","       1162.65","       1163.75","       1157.32","     604555","           699662984.30","      39593","     171541","         28.37"
"UBL","EQ","26-Oct-2018","       1163.75","       1157.00","       1172.55","       1106.00","       1112.00","       1114.75","       1137.44","     687569","           782065940.10","      30805","     165837","         24.12"
"UBL","EQ","29-Oct-2018","       1114.75","       1104.75","       1163.80","       1104.75","       1157.05","       1155.10","       1138.65","     684478","           779377987.15","      28468","     197358","         28.83"
"UBL","EQ","30-Oct-2018","       1155.10","       1156.10","       1177.95","       1145.55","       1169.90","       1170.95","       1164.91","     727322","           847263206.85","      28441","     283156","         38.93"
"UBL","EQ","31-Oct-2018","       1170.95","       1178.90","       1231.25","       1152.00","       1223.20","       1219.90","       1192.44","     758890","           904928030.70","      29163","     128153","         16.89"
"UBL","EQ","01-Nov-2018","       1219.90","       1239.90","       1262.35","       1218.00","       1231.05","       1236.15","       1239.68","     742300","           920216505.25","      20531","     130583","         17.59"
"UBL","EQ","02-Nov-2018","       1236.15","       1249.90","       1287.00","       1239.00","       1261.00","       1258.65","       1265.42","     704948","           892058110.35","      22783","     159772","         22.66"
"UBL","EQ","05-Nov-2018","       1258.65","       1259.00","       1276.55","       1236.00","       1262.45","       1256.50","       1253.80","     297433","           372921579.00","      12666","      53363","         17.94"
"UBL","EQ","06-Nov-2018","       1256.50","       1268.70","       1268.70","       1235.50","       1246.00","       1248.65","       1251.20","     304373","           380831618.60","      11326","      70027","         23.01"
"UBL","EQ","07-Nov-2018","       1248.65","       1258.20","       1273.10","       1250.25","       1260.00","       1255.30","       1256.52","      32180","            40434719.00","       1207","       6095","         18.94"
"UBL","EQ","09-Nov-2018","       1255.30","       1260.00","       1269.30","       1248.45","       1259.50","       1260.90","       1260.43","     446623","           562938712.50","      17185","     234596","         52.53"
"UBL","EQ","12-Nov-2018","       1260.90","       1260.00","       1287.20","       1253.55","       1274.00","       1276.65","       1273.81","     687139","           875284967.40","      25116","     258806","         37.66"
"UBL","EQ","13-Nov-2018","       1276.65","       1267.00","       1307.00","       1255.00","       1306.70","       1300.00","       1284.57","     788835","          1013316281.70","      31913","     221310","         28.06"
"UBL","EQ","14-Nov-2018","       1300.00","       1310.00","       1313.70","       1285.00","       1297.00","       1301.45","       1299.18","     864781","          1123502101.25","      26407","     358662","         41.47"
