"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GUJGASLTD","EQ","10-Aug-2018","        771.50","        775.00","        775.00","        754.00","        765.00","        770.45","        768.53","      15353","            11799181.75","       1576","      12531","         81.62"
"GUJGASLTD","EQ","13-Aug-2018","        770.45","        762.95","        772.00","        760.05","        770.50","        769.75","        769.52","      21685","            16687068.10","        724","      19813","         91.37"
"GUJGASLTD","EQ","14-Aug-2018","        769.75","        765.55","        779.00","        762.50","        778.80","        774.90","        771.58","      16902","            13041229.30","        802","      14253","         84.33"
"GUJGASLTD","EQ","16-Aug-2018","        774.90","        772.90","        789.00","        760.00","        779.00","        779.35","        781.68","     417380","           326258862.30","       2008","     401636","         96.23"
"GUJGASLTD","EQ","17-Aug-2018","        779.35","        784.35","        784.75","        762.90","        771.05","        769.00","        773.46","       7988","             6178409.40","        818","       3997","         50.04"
"GUJGASLTD","EQ","20-Aug-2018","        769.00","        776.00","        782.15","        766.10","        773.00","        775.05","        776.70","      10337","             8028777.95","        709","       2554","         24.71"
"GUJGASLTD","EQ","21-Aug-2018","        775.05","        775.05","        782.00","        769.55","        779.05","        779.60","        777.53","      12092","             9401931.55","        432","       7641","         63.19"
"GUJGASLTD","EQ","23-Aug-2018","        779.60","        785.00","        785.00","        770.00","        771.25","        774.75","        776.23","      16069","            12473259.40","        526","      14177","         88.23"
"GUJGASLTD","EQ","24-Aug-2018","        774.75","        774.00","        780.00","        772.80","        777.00","        775.20","        774.45","      12006","             9298093.95","        372","       7676","         63.93"
"GUJGASLTD","EQ","27-Aug-2018","        775.20","        776.90","        789.95","        774.60","        778.00","        777.60","        776.78","      55826","            43364270.15","        850","      52838","         94.65"
"GUJGASLTD","EQ","28-Aug-2018","        777.60","        780.75","        780.75","        763.35","        770.00","        771.05","        770.78","      10996","             8475444.35","        737","       7539","         68.56"
"GUJGASLTD","EQ","29-Aug-2018","        771.05","        771.00","        777.85","        768.25","        775.00","        773.25","        772.15","       5087","             3927949.25","        315","       3683","         72.40"
"GUJGASLTD","EQ","30-Aug-2018","        773.25","        773.30","        776.55","        763.00","        771.00","        770.85","        773.11","      15407","            11911359.45","        692","      12901","         83.73"
"GUJGASLTD","EQ","31-Aug-2018","        770.85","        770.95","        779.90","        763.15","        777.00","        774.45","        767.36","      92997","            71362319.40","       3289","      81974","         88.15"
"GUJGASLTD","EQ","03-Sep-2018","        774.45","        784.90","        784.90","        763.05","        767.25","        765.20","        772.53","      14456","            11167723.35","        314","      12896","         89.21"
"GUJGASLTD","EQ","04-Sep-2018","        765.20","        765.20","        769.30","        745.00","        745.00","        745.75","        755.82","      10435","             7886993.30","        607","       7643","         73.24"
"GUJGASLTD","EQ","05-Sep-2018","        745.75","        743.00","        754.15","        710.25","        738.00","        721.95","        723.39","      33988","            24586623.15","       2830","      25144","         73.98"
"GUJGASLTD","EQ","06-Sep-2018","        721.95","        716.00","        729.95","        716.00","        720.00","        720.00","        719.86","      29726","            21398440.35","      10260","      24334","         81.86"
"GUJGASLTD","EQ","07-Sep-2018","        720.00","        720.00","        730.10","        703.20","        719.40","        710.95","        716.18","      10913","             7815715.75","       2228","       7351","         67.36"
"GUJGASLTD","EQ","10-Sep-2018","        710.95","        717.95","        719.60","        695.00","        700.00","        699.05","        699.17","     233341","           163144800.85","       4424","     225292","         96.55"
"GUJGASLTD","EQ","11-Sep-2018","        699.05","        703.00","        715.00","        695.00","        700.00","        698.55","        700.69","      13031","             9130704.40","       2638","       7868","         60.38"
"GUJGASLTD","EQ","12-Sep-2018","        698.55","        693.50","        774.70","        656.25","        727.85","        727.10","        685.15","      86966","            59584378.00","       8027","      26516","         30.49"
"GUJGASLTD","EQ","14-Sep-2018","        727.10","        727.20","        739.45","        710.00","        717.80","        715.10","        718.83","      10980","             7892702.10","       1110","       7276","         66.27"
"GUJGASLTD","EQ","17-Sep-2018","        715.10","        716.00","        733.00","        710.15","        722.95","        722.25","        720.82","      13801","             9948034.85","       1851","       9040","         65.50"
"GUJGASLTD","EQ","18-Sep-2018","        722.25","        745.00","        745.00","        705.15","        709.95","        708.95","        720.19","      14314","            10308757.70","       1202","       5701","         39.83"
"GUJGASLTD","EQ","19-Sep-2018","        708.95","        705.00","        708.90","        675.05","        684.10","        682.15","        683.92","      53586","            36648429.90","      10209","      41366","         77.20"
"GUJGASLTD","EQ","21-Sep-2018","        682.15","        681.00","        715.00","        660.00","        705.50","        700.60","        673.61","     173977","           117193279.35","       8542","     136708","         78.58"
"GUJGASLTD","EQ","24-Sep-2018","        700.60","        706.00","        707.15","        665.00","        675.00","        675.95","        677.21","      19029","            12886629.55","       1697","      11235","         59.04"
"GUJGASLTD","EQ","25-Sep-2018","        675.95","        667.00","        668.00","        648.30","        660.00","        655.40","        657.25","      47608","            31290137.60","      11707","      34308","         72.06"
"GUJGASLTD","EQ","26-Sep-2018","        655.40","        651.10","        667.60","        630.00","        655.50","        650.00","        641.87","      82616","            53028535.40","       3976","      69789","         84.47"
"GUJGASLTD","EQ","27-Sep-2018","        650.00","        641.35","        658.35","        630.90","        635.05","        638.45","        640.45","      11666","             7471496.70","       1268","       5325","         45.65"
"GUJGASLTD","EQ","28-Sep-2018","        638.45","        655.00","        655.00","        625.00","        630.00","        629.30","        631.26","      50779","            32054816.70","       5281","      43928","         86.51"
"GUJGASLTD","EQ","01-Oct-2018","        629.30","        639.55","        639.55","        610.00","        615.10","        627.50","        617.84","      68244","            42164141.05","       1544","      56376","         82.61"
"GUJGASLTD","EQ","03-Oct-2018","        627.50","        621.25","        636.00","        610.40","        614.00","        618.95","        625.54","      22133","            13845168.20","       2138","      18046","         81.53"
"GUJGASLTD","EQ","04-Oct-2018","        618.95","        616.00","        638.00","        603.00","        616.75","        616.95","        621.75","     311656","           193771865.55","       3905","     266511","         85.51"
"GUJGASLTD","EQ","05-Oct-2018","        616.95","        610.00","        617.95","        595.00","        612.00","        610.90","        609.86","      33488","            20423155.75","       6237","      23322","         69.64"
"GUJGASLTD","EQ","08-Oct-2018","        610.90","        610.00","        617.20","        601.00","        612.00","        611.65","        610.00","       8063","             4918436.90","        967","       3094","         38.37"
"GUJGASLTD","EQ","09-Oct-2018","        611.65","        615.50","        616.00","        597.80","        607.00","        601.30","        604.14","       7603","             4593265.15","        897","       4395","         57.81"
"GUJGASLTD","EQ","10-Oct-2018","        601.30","        614.80","        627.95","        608.50","        611.00","        611.40","        617.19","      10635","             6563803.10","       1123","       4529","         42.59"
"GUJGASLTD","EQ","11-Oct-2018","        611.40","        600.00","        612.00","        600.00","        602.55","        604.20","        603.86","      10467","             6320582.90","       1103","       5000","         47.77"
"GUJGASLTD","EQ","12-Oct-2018","        604.20","        613.00","        624.85","        597.15","        610.00","        610.55","        609.72","      15765","             9612272.90","       1348","       8279","         52.52"
"GUJGASLTD","EQ","15-Oct-2018","        610.55","        616.20","        724.95","        612.80","        699.80","        693.90","        685.71","      83173","            57032709.25","       3397","      23550","         28.31"
"GUJGASLTD","EQ","16-Oct-2018","        693.90","        700.00","        708.35","        675.00","        675.00","        679.55","        694.43","      86181","            59846992.65","       4538","      25493","         29.58"
"GUJGASLTD","EQ","17-Oct-2018","        679.55","        688.95","        688.95","        635.05","        646.85","        641.90","        659.87","      21338","            14080258.35","       2097","      10986","         51.49"
"GUJGASLTD","EQ","19-Oct-2018","        641.90","        634.95","        662.65","        631.45","        644.00","        644.45","        645.54","      22614","            14598294.10","       3419","      12008","         53.10"
"GUJGASLTD","EQ","22-Oct-2018","        644.45","        659.50","        659.50","        630.00","        631.00","        636.15","        639.80","      13899","             8892541.70","       1526","       8842","         63.62"
"GUJGASLTD","EQ","23-Oct-2018","        636.15","        635.00","        635.00","        615.65","        629.95","        624.80","        625.70","      12635","             7905747.95","       2244","       7935","         62.80"
"GUJGASLTD","EQ","24-Oct-2018","        624.80","        636.65","        639.75","        612.70","        625.00","        626.05","        625.53","      20853","            13044097.55","       3849","      13207","         63.33"
"GUJGASLTD","EQ","25-Oct-2018","        626.05","        624.50","        628.50","        608.05","        614.75","        610.90","        622.76","      30976","            19290466.05","       2227","      23845","         76.98"
"GUJGASLTD","EQ","26-Oct-2018","        610.90","        614.60","        625.00","        610.90","        614.50","        613.30","        616.96","       6403","             3950406.65","        724","       3684","         57.54"
"GUJGASLTD","EQ","29-Oct-2018","        613.30","        638.20","        638.20","        615.00","        615.20","        618.65","        619.53","       7077","             4384439.25","        509","       4095","         57.86"
"GUJGASLTD","EQ","30-Oct-2018","        618.65","        618.95","        623.00","        608.65","        610.00","        610.70","        613.13","      24581","            15071259.35","       1291","      19413","         78.98"
